city,count
Manchester,3981
Norwood,3889
Brooklyn,3482
Highland,3368
Philadelphia,3333
Baltimore,3211
Alexandria,3023
Merrillville,2857
Lafayette,2784
Milford,2771
Silver Spring,2714
Albany,2280
Edison,2228
Nashua,2220
Conshohocken,2192
Southfield,2106
Raynham,2079
Plymouth,2045
Auburn,2023
Danvers,2011
Paramus,2001
Hartford,1980
Staten Island,1956
Stamford,1947
Newark,1881
Portsmouth,1878
Washington,1844
Concord,1843
Rockville,1838
Clinton Township,1812
Lowell,1809
Watertown,1740
Schenectady,1711
Lancaster,1691
Lansing,1677
Burlington,1648
Freehold,1642
Latham,1639
Hanover,1637
Danbury,1623
Westborough,1619
Annapolis,1608
Dover,1605
Saco,1591
Egg Harbor Township,1590
West Springfield,1588
Braintree,1573
Falls Church,1547
Kalamazoo,1528
Ramsey,1501
Shrewsbury,1487
Waterbury,1474
Bronx,1467
Novi,1452
Somerville,1438
Saint James,1428
Matteson,1419
Springfield,1408
Cherry Hill,1407
Toms River,1389
Owings Mills,1384
Yonkers,1380
Rochester Hills,1373
Brockton,1369
Long Island City,1353
Framingham,1346
Glen Burnie,1336
Arlington,1335
East Providence,1320
Great Neck,1317
Allentown,1311
Eatontown,1304
New Castle,1298
Bowie,1295
Johnston,1294
East Hartford,1271
Gaithersburg,1255
Detroit,1251
Richmond,1241
Middletown,1235
New Rochelle,1235
Mendon,1201
Huntington,1195
Branford,1177
Fenton,1176
Old Bridge,1175
Harrisburg,1170
Lynnfield,1162
Redford,1161
Jersey City,1161
Valparaiso,1158
Englewood,1156
Little Falls,1144
Clarksville,1144
Huntington Station,1121
Flint,1119
Bay Shore,1104
Riverhead,1103
South Burlington,1101
Wallingford,1097
Haverhill,1095
Warwick,1085
White Plains,1081
Hyannis,1064
Maple Shade,1055
Fort Wayne,1043
Valley Stream,1038
Warren,1038
Battle Creek,1035
Frankfort,1024
Berlin,1022
New Hudson,1021
Laurel,1008
Grand Ledge,1003
Torrington,1002
East Windsor,997
Natick,991
Bloomfield Hills,990
Bridgewater,984
Elizabeth,981
New York,979
Reading,978
Warsaw,974
Woburn,972
Patchogue,972
North Attleboro,968
Lake Orion,965
Naugatuck,963
Peabody,956
Rochester,932
Bethesda,906
Cranston,906
Bristol,903
Queensbury,903
Warminster,891
West Chester,886
Freeport,885
Paterson,882
Easton,877
Boston,876
Mattoon,875
Fallston,874
Norristown,872
Lakewood,868
Poughkeepsie,866
Salem,864
Waterford,860
Hackensack,857
Clifton Park,848
Medford,845
Somersworth,842
Westwood,842
South Portland,839
Levittown,836
Waldorf,834
Worcester,824
Howell,819
Trenton,819
North Haven,817
Westminster,817
Kokomo,814
Greenwood,806
Jackson,801
Hempstead,800
Champaign,799
Totowa,797
Greenvale,785
Laconia,776
Brighton,775
Greenwich,774
Northampton,769
Doylestown,768
Seekonk,767
Union,767
Plattsburgh,764
Fort Washington,757
Vernon Rockville,756
Mishawaka,753
Wood-Ridge,749
Tilton,749
Kingston,748
East Brunswick,748
Saratoga Springs,748
Ellicott City,741
Lebanon,740
West Nyack,739
Keene,738
North Brunswick,731
Lawrenceville,731
Plainwell,731
Bourbonnais,728
North Kingstown,724
Temple Hills,721
Royal Oak,717
Enfield,715
Farmington Hills,715
Gorham,713
Lynn,713
Hooksett,707
Exeter,702
Nottingham,699
Wall Township,687
Marlborough,685
Elkhart,685
Bayside,683
Roslyn,674
Grand Rapids,673
Mechanicsburg,661
Summit,651
Mount Kisco,646
York,643
Augusta,639
Towson,639
Acton,638
Westport,634
Salisbury,633
Monticello,627
Smithtown,625
West Warwick,624
Avenel,624
Terre Haute,624
White Marsh,621
Souderton,621
Rockville Centre,619
South Bend,616
Flemington,614
Newport,614
Columbia,611
Wakefield,610
Pittsfield,609
Vineland,605
Stratham,605
Glen Cove,599
Princeton,591
Suitland,589
Cheshire,585
Waterville,583
Keyport,581
Brunswick,579
Franklin,579
Westbrook,578
Sewell,574
Brick,573
Bel Air,573
Monmouth Junction,571
North Dartmouth,569
Fall River,568
Wheaton,566
Oak Park,564
Hudson,564
Woodbridge,563
Devon,558
Bourne,555
Westbury,554
Wilmington,553
Westland,552
Red Bank,551
Michigan City,549
Center Line,544
Agawam,543
Montgomeryville,542
Marion,542
Attleboro,537
Randolph,532
Littleton,527
Glen Mills,527
Catonsville,526
Bennington,525
Lodi,525
Newton,523
Jenkintown,522
Sterling Heights,519
Colmar,519
Williamstown,510
Watchung,506
South Easton,506
Saint Johnsbury,506
Sicklerville,504
Bethlehem,503
Jackson Heights,500
Ephrata,493
Burlington Township,491
Swansea,490
White River Junction,488
East Greenwich,487
Parsippany,485
Swanzey,485
Portage,482
Neptune,478
Fair Lawn,472
West Caldwell,470
Mt Laurel,468
Wiscasset,467
Bangor,462
Tarrytown,462
Maumee,459
Canton,459
Plainville,458
West Roxbury,457
Jamaica,455
Exton,453
Georgetown,446
Bridgeport,446
Everett,443
Toledo,441
Whitman,438
Southampton,437
Muncie,436
Parkville,435
Abington,433
Dorchester,432
Nanuet,430
Linden,430
Ft Wayne,428
Lynbrook,428
Wilkes Barre,426
Roseville,425
Feasterville Trevose,423
Quakertown,422
Delran,421
Pasadena,421
Indianapolis,420
Davison,419
Hasbrouck Heights,418
Rahway,418
Lexington Park,412
Brazil,412
Cockeysville,411
Horsham,410
Manahawkin,410
Putnam,409
Lapeer,405
Chicago,404
Amityville,404
Avon,400
Rochelle Park,397
Chicopee,397
Merrimack,396
Thomaston,395
Demotte,394
Simsbury,394
Westfield,393
Rutland,392
Peotone,392
Feasterville-Trevose,392
Winthrop,391
Barre,391
Little Ferry,390
Hillside,389
Macomb,388
Ypsilanti,387
Brattleboro,387
Londonderry,384
West Islip,383
Mount Laurel,382
Ansonia,382
Tewksbury,380
Farmingdale,379
Sussex,379
Old Saybrook,377
Woodside,377
Marlow Heights,375
Germantown,372
Stratford,372
Middlebury,372
Lawrence Township,371
Dillsburg,369
Taylor,368
Logansport,367
Meriden,366
Delaware,365
Sylvania,363
Portland,362
Leominster,361
Willow Grove,360
Seaford,360
Holyoke,359
Bedford,357
Holly,356
Kenvil,355
Bohemia,355
Adrian,352
Rhinebeck,349
New Britain,349
Epsom,347
Sudbury,346
Dayton,346
Smithfield,345
Walled Lake,345
Sykesville,343
Plaistow,340
West Simsbury,340
East Haven,339
Hingham,338
Methuen,337
Fairless Hills,336
Imlay City,336
Lewes,336
New Bedford,331
Oakhurst,329
Farmington,329
Savoy,328
Cambridge,326
New Haven,325
Riverdale,325
Port Huron,325
South Amboy,324
Blackwood,323
Malvern,322
Somerset,321
Williston,321
Ann Arbor,320
Gwynn Oak,319
Ewing,318
Middle River,317
Upper Saddle River,316
Naperville,315
St Albans,314
Irvington,313
Eastpointe,313
Norwell,313
Aberdeen,310
Newtown Square,309
Lewis Center,309
West New York,309
