model_name,count
F-150,14798
Equinox,9795
Escape,9764
Grand Cherokee,9522
CR-V,9050
Rogue,8192
Silverado 1500,8117
Explorer,7976
Fusion,7028
RAV4,6775
Accord,6270
Civic,5890
Camry,5808
Trax,5561
Compass,5153
Altima,5092
Edge,4885
Highlander,4792
Cherokee,4638
Tucson,4309
Corolla,4300
Forester,4292
Outback,3926
Elantra,3734
Traverse,3717
Terrain,3674
Malibu,3672
Wrangler Unlimited,3669
CX-5,3629
Sentra,3485
Jetta,3467
Pilot,3362
Sonata,3344
Sportage,3168
HR-V,3049
Sierra 1500,3009
Acadia,2955
EcoSport,2953
3 Series,2681
Crosstrek,2636
Impreza,2620
MDX,2499
Odyssey,2480
Murano,2455
Tiguan,2387
Encore,2367
C-Class,2346
Sorento,2228
Renegade,2152
Encore GX,2139
Durango,2124
Tahoe,2113
Tacoma,2105
Envision,2070
Transit Connect,2069
Grand Caravan,2067
Cruze,2044
Rogue Sport,2044
X3,2032
Pacifica,1984
Passat,1905
5 Series,1865
Ranger,1831
Forte,1772
XT5,1762
Colorado,1760
Expedition,1747
X5,1735
F-250 Super Duty,1726
E-Class,1725
Mustang,1715
MKZ,1707
Soul,1692
Focus,1685
Blazer,1669
Kona,1668
Pathfinder,1666
F-350 Super Duty,1635
Transit Cargo,1629
RDX,1629
Sienna,1597
Fit,1564
QX60,1553
Legacy,1552
Enclave,1551
Q5,1531
MAZDA3,1517
XC60,1511
Fusion Hybrid,1495
Optima,1464
Santa Fe,1463
Journey,1367
Charger,1351
XC90,1350
Maxima,1314
Impala,1249
GLC-Class,1185
TLX,1179
Prius,1171
RX 350,1137
Highlander Hybrid,1131
Suburban,1127
Corsair,1127
Atlas,1116
S60,1084
Challenger,1082
GLA-Class,1062
RX,1050
Gladiator,1048
Silverado 2500HD,1035
A4,1015
4Runner,1014
Q50,1007
Outlander Sport,1005
Versa,987
GLE-Class,969
Tundra,964
Camaro,937
RAV4 Hybrid,922
X1,918
Yukon,893
Camry Hybrid,882
Patriot,844
Q7,844
300,834
A6,818
Escalade,800
Cooper,799
Discovery Sport,797
K5,788
Wrangler,783
Bolt EV,781
Passport,779
Sprinter,778
Prius Prime,760
S-Class,759
Santa Fe Sport,758
ES 350,754
Nautilus,741
XT6,740
Spark,734
ProMaster,724
CX-9,704
MAZDA6,701
Ascent,700
Town & Country,690
Atlas Cross Sport,686
Outlander,686
Transit Passenger,675
Express Cargo,670
Kicks,659
Q3,640
C-HR,627
MKC,615
Trailblazer,614
Sedona,613
Civic Hatchback,606
Sierra 2500HD,602
XT4,599
Taurus,594
GLB-Class,589
4 Series,588
Countryman,586
MKX,580
Corvette,579
Stelvio,569
Cayenne,565
ILX,562
Frontier,560
A3,559
GLS-Class,557
Accent,555
Avalon,554
Giulia,544
Macan,536
Civic Coupe,535
Range Rover Sport,534
Navigator,534
QX50,532
CT5,531
Ridgeline,526
Fusion Energi,519
Aviator,516
F-550 Super Duty Chassis,513
F-PACE,513
200,504
Accord Hybrid,498
Liberty,497
ES,496
Yukon XL,493
XC40,489
Escape Hybrid,487
CLA-Class,486
Range Rover Evoque,486
Canyon,474
Eclipse Cross,473
Seltos,473
CTS,473
GTI,472
Flex,463
7 Series,461
Titan,459
Escalade ESV,454
Fiesta,451
911,443
Palisade,439
F-350 Super Duty Chassis,436
Mirage G4,436
Continental,434
LaCrosse,427
ProMaster City,425
Sonic,424
Express,410
Range Rover,410
E-Series,403
IS,400
Insight,400
Venue,399
Telluride,394
Niro,389
NX 200t,389
2 Series,387
WRX,383
CR-V Hybrid,382
