power,count
"355 hp @ 5,600 RPM",13147
"138 hp @ 4,900 RPM",10976
"170 hp @ 6,000 RPM",10777
"181 hp @ 6,000 RPM",10432
"395 hp @ 5,750 RPM",9921
"395 hp @ 5,600 RPM",8710
"170 hp @ 5,600 RPM",7818
"190 hp @ 5,600 RPM",7497
"360 hp @ 5,150 RPM",6984
"147 hp @ 6,200 RPM",6874
"280 hp @ 6,000 RPM",6531
"182 hp @ 5,800 RPM",6015
"180 hp @ 6,400 RPM",5880
"250 hp @ 5,500 RPM",5632
"245 hp @ 5,500 RPM",5507
"295 hp @ 6,400 RPM",5485
"185 hp @ 6,000 RPM",5312
"158 hp @ 6,500 RPM",4538
"295 hp @ 6,600 RPM",4494
"310 hp @ 6,700 RPM",4219
"176 hp @ 6,000 RPM",4005
"310 hp @ 6,800 RPM",3994
"152 hp @ 6,000 RPM",3951
"187 hp @ 6,000 RPM",3769
"141 hp @ 6,500 RPM",3657
"166 hp @ 6,000 RPM",3572
"375 hp @ 5,000 RPM",3468
"160 hp @ 5,700 RPM",3410
"271 hp @ 6,500 RPM",3283
"283 hp @ 6,400 RPM",3263
"260 hp @ 6,000 RPM",3088
"285 hp @ 6,400 RPM",3044
"290 hp @ 6,200 RPM",2990
"132 hp @ 6,000 RPM",2973
"192 hp @ 5,500 RPM",2938
"252 hp @ 5,500 RPM",2911
"270 hp @ 5,250 RPM",2690
"240 hp @ 5,500 RPM",2667
"290 hp @ 6,500 RPM",2666
"241 hp @ 5,550 RPM",2593
"185 hp @ 6,400 RPM",2537
"182 hp @ 6,000 RPM",2535
"188 hp @ 6,000 RPM",2527
"287 hp @ 6,400 RPM",2523
"175 hp @ 5,800 RPM",2483
"420 hp @ 5,600 RPM",2459
"277 hp @ 3,750 RPM",2407
"141 hp @ 6,000 RPM",2393
"153 hp @ 5,600 RPM",2390
"248 hp @ 5,200 RPM",2260
"150 hp @ 5,600 RPM",2216
"300 hp @ 6,400 RPM",2185
"172 hp @ 6,000 RPM",2169
"170 hp @ 5,800 RPM",2098
"290 hp @ 6,400 RPM",2097
"301 hp @ 6,500 RPM",2070
"184 hp @ 4,400 RPM",2049
"316 hp @ 5,700 RPM",2044
"281 hp @ 6,300 RPM",1983
"181 hp @ 3,400 RPM",1970
"335 hp @ 5,500 RPM",1969
"310 hp @ 5,500 RPM",1918
"130 hp @ 6,000 RPM",1901
"161 hp @ 6,200 RPM",1894
"174 hp @ 6,000 RPM",1745
"147 hp @ 5,000 RPM",1707
"248 hp @ 5,000 RPM",1626
"308 hp @ 6,600 RPM",1626
"208 hp @ 5,500 RPM",1619
"255 hp @ 5,800 RPM",1583
"178 hp @ 6,000 RPM",1551
"278 hp @ 6,000 RPM",1538
"370 hp @ 2,800 RPM",1532
"300 hp @ 5,800 RPM",1529
"228 hp @ 5,000 RPM",1526
"177 hp @ 5,750 RPM",1471
"182 hp @ 6,700 RPM",1454
"288 hp @ 6,300 RPM",1428
"284 hp @ 6,400 RPM",1400
"237 hp @ 5,000 RPM",1380
"252 hp @ 5,000 RPM",1330
"149 hp @ 6,400 RPM",1299
"164 hp @ 6,200 RPM",1298
"200 hp @ 5,100 RPM",1286
"260 hp @ 3,600 RPM",1281
"385 hp @ 5,750 RPM",1267
"175 hp @ 5,500 RPM",1259
"122 hp @ 6,300 RPM",1255
"295 hp @ 6,300 RPM",1254
"280 hp @ 6,500 RPM",1245
"221 hp @ 5,500 RPM",1234
"240 hp @ 5,000 RPM",1216
"268 hp @ 6,200 RPM",1138
"255 hp @ 5,000 RPM",1137
"296 hp @ 6,200 RPM",1118
"150 hp @ 5,000 RPM",1092
"148 hp @ 6,000 RPM",1083
"302 hp @ 6,500 RPM",1077
"283 hp @ 6,350 RPM",1052
"128 hp @ 6,600 RPM",1049
"305 hp @ 6,800 RPM",1048
"270 hp @ 5,600 RPM",1047
"186 hp @ 6,000 RPM",1022
"381 hp @ 5,600 RPM",1014
"184 hp @ 5,700 RPM",1012
"268 hp @ 5,600 RPM",1005
"191 hp @ 6,100 RPM",1002
"310 hp @ 6,600 RPM",997
"202 hp @ 6,600 RPM",992
"292 hp @ 6,350 RPM",972
"280 hp @ 5,200 RPM",971
"270 hp @ 6,200 RPM",945
"246 hp @ 5,500 RPM",935
"250 hp @ 5,000 RPM",933
"180 hp @ 5,500 RPM",923
"341 hp @ 5,400 RPM",898
"401 hp @ 5,200 RPM",895
"188 hp @ 3,800 RPM",872
"160 hp @ 6,500 RPM",864
"403 hp @ 5,700 RPM",854
"78 hp @ 6,000 RPM",848
"179 hp @ 6,000 RPM",843
"212 hp @ 6,200 RPM",841
"340 hp @ 6,500 RPM",839
"272 hp @ 6,500 RPM",826
"260 hp @ 5,600 RPM",801
"210 hp @ 5,200 RPM",793
"140 hp @ 4,000 RPM",778
"189 hp @ 6,400 RPM",771
"247 hp @ 5,500 RPM",761
"124 hp @ 6,000 RPM",754
"123 hp @ 6,000 RPM",727
"185 hp @ 7,000 RPM",723
"206 hp @ 6,800 RPM",716
"280 hp @ 6,400 RPM",714
"240 hp @ 6,550 RPM",710
"261 hp @ 5,600 RPM",706
"335 hp @ 5,000 RPM",706
"144 hp @ 6,100 RPM",692
"170 hp @ 6,200 RPM",688
"291 hp @ 6,000 RPM",674
"248 hp @ 5,700 RPM",671
"109 hp @ 6,000 RPM",670
"250 hp @ 5,700 RPM",661
"189 hp @ 5,000 RPM",649
"308 hp @ 6,800 RPM",637
"365 hp @ 5,500 RPM",636
"252 hp @ 6,500 RPM",628
"390 hp @ 5,800 RPM",619
"137 hp @ 5,000 RPM",619
"240 hp @ 6,000 RPM",610
"130 hp @ 6,300 RPM",607
"400 hp @ 5,800 RPM",606
"276 hp @ 6,000 RPM",599
"155 hp @ 6,000 RPM",594
"130 hp @ 6,600 RPM",587
"279 hp @ 6,200 RPM",585
"397 hp @ 3,000 RPM",585
"335 hp @ 4,750 RPM",572
"235 hp @ 5,600 RPM",572
"335 hp @ 6,800 RPM",571
"300 hp @ 6,350 RPM",561
"302 hp @ 6,600 RPM",561
"152 hp @ 5,500 RPM",553
"168 hp @ 6,000 RPM",549
"220 hp @ 4,450 RPM",528
"248 hp @ 5,500 RPM",528
"266 hp @ 6,200 RPM",523
"155 hp @ 5,600 RPM",521
"134 hp @ 5,200 RPM",515
"174 hp @ 5,200 RPM",514
"362 hp @ 5,000 RPM",508
"178 hp @ 6,400 RPM",501
"485 hp @ 6,100 RPM",498
"460 hp @ 7,000 RPM",496
"293 hp @ 6,400 RPM",489
"121 hp @ 6,300 RPM",483
"166 hp @ 5,800 RPM",480
"170 hp @ 4,500 RPM",479
"362 hp @ 5,500 RPM",479
"140 hp @ 6,300 RPM",468
"411 hp @ 5,500 RPM",466
"106 hp @ 6,000 RPM",465
"201 hp @ 6,800 RPM",462
"333 hp @ 5,500 RPM",458
"198 hp @ 6,300 RPM",453
"180 hp @ 5,000 RPM",452
"120 hp @ 6,300 RPM",451
"184 hp @ 6,400 RPM",442
"342 hp @ 5,400 RPM",434
"301 hp @ 5,500 RPM",432
"170 hp @ 5,700 RPM",427
"240 hp @ 5,800 RPM",427
"305 hp @ 6,500 RPM",427
"140 hp @ 6,500 RPM",426
"275 hp @ 5,500 RPM",425
160 hp @ 650 RPM,422
"180 hp @ 6,800 RPM",417
"175 hp @ 6,000 RPM",413
"173 hp @ 6,000 RPM",410
"450 hp @ 2,800 RPM",409
"450 hp @ 5,500 RPM",407
"325 hp @ 5,750 RPM",406
"211 hp @ 4,300 RPM",406
"146 hp @ 6,200 RPM",405
"445 hp @ 5,500 RPM",402
"236 hp @ 5,200 RPM",401
"145 hp @ 6,500 RPM",400
"138 hp @ 6,300 RPM",398
"287 hp @ 6,500 RPM",397
"230 hp @ 6,500 RPM",396
"300 hp @ 5,000 RPM",395
"365 hp @ 5,000 RPM",391
"123 hp @ 6,350 RPM",389
"304 hp @ 6,800 RPM",389
"203 hp @ 6,000 RPM",386
"272 hp @ 5,500 RPM",385
"180 hp @ 6,250 RPM",384
"240 hp @ 5,600 RPM",376
"285 hp @ 6,500 RPM",375
"449 hp @ 5,250 RPM",374
"175 hp @ 5,600 RPM",374
"320 hp @ 5,400 RPM",371
"170 hp @ 4,800 RPM",371
"455 hp @ 6,000 RPM",367
"143 hp @ 6,500 RPM",359
"201 hp @ 6,000 RPM",359
"295 hp @ 6,350 RPM",358
"120 hp @ 5,000 RPM",355
"177 hp @ 6,500 RPM",355
"256 hp @ 6,000 RPM",355
"173 hp @ 5,600 RPM",353
"160 hp @ 5,500 RPM",352
"330 hp @ 6,000 RPM",347
"260 hp @ 6,400 RPM",344
"278 hp @ 6,200 RPM",332
"158 hp @ 6,000 RPM",327
"264 hp @ 6,950 RPM",325
"350 hp @ 2,800 RPM",324
"268 hp @ 6,000 RPM",322
"220 hp @ 4,500 RPM",319
"400 hp @ 6,000 RPM",319
"180 hp @ 6,700 RPM",313
"305 hp @ 6,350 RPM",313
"463 hp @ 5,250 RPM",312
"375 hp @ 5,150 RPM",311
"189 hp @ 4,700 RPM",305
"395 hp @ 5,500 RPM",302
"335 hp @ 5,600 RPM",301
"250 hp @ 5,300 RPM",300
"235 hp @ 6,000 RPM",299
"300 hp @ 6,300 RPM",294
"188 hp @ 5,600 RPM",293
"315 hp @ 5,200 RPM",293
"228 hp @ 4,700 RPM",292
"390 hp @ 5,600 RPM",290
"255 hp @ 4,500 RPM",289
"196 hp @ 6,300 RPM",287
"206 hp @ 6,600 RPM",287
"263 hp @ 6,250 RPM",285
"248 hp @ 4,300 RPM",285
"188 hp @ 5,800 RPM",285
"146 hp @ 6,000 RPM",277
"325 hp @ 7,000 RPM",275
"288 hp @ 6,500 RPM",271
"328 hp @ 7,000 RPM",264
"255 hp @ 6,400 RPM",264
