sp_name,count
Carvana,1876
Dorian Ford,1231
Dick Huvaere's Richmond Chrysler Dodge Jeep RAM,961
Dana Ford Lincoln,942
Danbury Hyundai CDJR Kia,941
Shea Chevrolet Buick GMC,940
Banks Chevrolet Cadillac Buick GMC,937
Quirk Chevrolet,936
Pat Milliken Ford,903
Open Road Honda,859
Boch Honda,857
Feldman Chevrolet of Highland,813
Feldman Chevrolet of Novi,813
Ray Skillman Ford,806
Serra Buick GMC Cadillac Kia,800
DCH Paramus Honda,800
Tasca Ford Cranston,770
DARCARS Toyota of Silver Spring,765
Auto Spot LLC.,749
Fullerton Auto Group,746
Sundance Chevrolet Buick GMC,736
Serra Ford Rochester Hills,730
Route 46 Chrysler Jeep Dodge,692
Koons Ford of Baltimore,691
LaFontaine Cadillac Buick GMC,684
Bayside Chrysler Jeep Dodge,682
Koon's Ford Lincoln Mazda of Silver Spring,669
CarVision Mitsubishi,652
Apollo Auto Sales,648
DCH Kay Honda,647
Golling FIAT Chrysler Dodge Jeep Ram,641
Irwin Automotive Group,630
Jim Coleman Honda,627
Conicelli Toyota of Conshohocken,626
MajorWorld.com,614
Team Nissan,606
Colonial Ford,590
Varsity Lincoln,589
Mercedes-Benz of Rockville Centre,583
AutoFair Honda in Manchester,565
Koons Westminster Toyota,564
Feldman Chevrolet of New Hudson,563
Martin Mazda,562
Todd Wenzel Buick GMC of Westland,552
Mercedes-Benz of Paramus,548
Automotive Avenues,548
Edison Nissan,546
DCH Academy Honda,541
Honda Of Staten Island,541
Avis Ford Inc,540
Conicelli Hyundai,534
Elder Ford of Romeo,530
Currie Motors Ford of Valpo,530
Stamford Hyundai,525
A Better Way Wholesale,524
ESK Investments dba Northland CDJR,521
Lasco Ford,520
East Hills Chrysler Jeep Dodge,518
Imperial Ford,517
Conicelli Honda,511
Matthews-Hargreaves Chevrolet,510
"Jack Madden Ford Sales, Inc.",501
Serra Chevrolet,500
Koeppel Nissan,500
Honda of New Rochelle,500
Fitzgerald Hyundai Subaru of Rockville,496
Apple Ford Lincoln,495
Pilson Auto Center,495
Webb Ford Inc,493
Davis Honda,491
Harold Zeigler Ford,491
Hamilton Chevrolet,491
Destination KIA,489
Lindsay Ford of Wheaton,487
Jerry's Toyota,484
Sellers Automotive Inc.,484
Stamford Ford Lincoln,483
Sterling Heights Chrysler Dodge Jeep,481
Tarbox Hyundai,481
"Berlin City Auto Group Gorham, NH",479
King Volkswagen,476
Ford & Lincoln of Smithtown,465
Tarrytown Honda,462
Sarat Ford,461
Brondes Ford Lincoln Maumee,459
Koons Falls Church Ford,458
Hines Park Ford,458
Atlantic Chevrolet Cadillac,458
All American Ford & Mazda of Point Pleasant,458
Portsmouth Ford Lincoln,457
Merchants Automotive Group,453
Expressway Toyota,451
Flagship Motorcars of Lynnfield,451
Brighton Ford,450
Saratoga Honda,448
Bob Maxey Ford of Howell,447
George Wall Ford,443
AutoFair Ford,441
Toyota of Hackensack,441
Crest Ford Incorporated,441
Woburn Toyota,437
Bill Dube Ford Toyota,433
Phillips Chevrolet of Frankfort,431
Porter Chevrolet,426
Ramsey Volvo,425
Dan O'Brien Kia Concord,425
South Oak Dodge Chrysler Jeep,423
Jaguar Land Rover Glen Cove,421
Performance Ford,421
Bell Ford,416
Hurd Auto Mall,415
Rallye Motors,414
Garber Chevrolet Highland,414
Yonkers Kia,411
Rochester Hills Chrysler Jeep Incorporated,410
Flood Ford of East Greenwich,410
Chapman Ford Chrysler Jeep Dodge Ram,410
Taylor Chrysler Dodge Jeep RAM,409
DCH Ford of Eatontown,404
Heritage Toyota Catonsville,402
Habberstad BMW,401
Empire Hyundai,401
Park Ave Acura,397
Lunghamer Buick GMC Inc.,397
Ray Laethem Motor Village,396
Mercedes-Benz of Fort Washington,394
Lundgren Honda of Auburn,394
Tom's Ford,393
Gettacar,392
Jones Family of Dealerships,392
