transmission_display,count
Automatic,180144
Continuously Variable Transmission,74944
6-Speed Automatic,64264
8-Speed Automatic,53200
9-Speed Automatic,26093
6-Speed Automatic Overdrive,13401
7-Speed Automatic,8214
5-Speed Automatic,6919
4-Speed Automatic,5378
6-Speed Manual,3578
Manual,2491
8-Speed Automatic Overdrive,2332
5-Speed Automatic Overdrive,1540
5-Speed Manual,1384
4-Speed Automatic Overdrive,1142
1-Speed Automatic,1122
6-Speed Dual Clutch,795
9-Speed Automatic Overdrive,742
8-Speed Dual Clutch,505
7-Speed CVT,425
7-Speed Automatic Overdrive,343
7-Speed Dual Clutch,238
6-Speed CVT,126
5-Speed Manual Overdrive,117
6-Speed Manual Overdrive,104
4-Speed Manual,83
3-Speed Automatic,67
7-Speed Manual,62
2-Speed Automatic,57
10-Speed Automatic,54
1-Speed CVT,44
8-Speed CVT,38
1-Speed Dual Clutch,35
3-Speed Manual,24
4-Speed CVT,5
8-Speed Manual,3
7-Speed Manual Overdrive,1
4-Speed Dual Clutch,1
